Vehicle,Model,Make,Type,Year,Sales
Hyundai Kona Electric,Hyundai,Kona Electric,EV,2019,1721
Subaru Crosstrek Hybrid,Subaru,Crosstrek Hybrid,PHEV,2011,0
Subaru Crosstrek Hybrid,Subaru,Crosstrek Hybrid,PHEV,2012,0
Subaru Crosstrek Hybrid,Subaru,Crosstrek Hybrid,PHEV,2013,0
Subaru Crosstrek Hybrid,Subaru,Crosstrek Hybrid,PHEV,2014,0
Subaru Crosstrek Hybrid,Subaru,Crosstrek Hybrid,PHEV,2015,0
Subaru Crosstrek Hybrid,Subaru,Crosstrek Hybrid,PHEV,2016,0
Subaru Crosstrek Hybrid,Subaru,Crosstrek Hybrid,PHEV,2017,0
Subaru Crosstrek Hybrid,Subaru,Crosstrek Hybrid,PHEV,2018,0
Subaru Crosstrek Hybrid,Subaru,Crosstrek Hybrid,PHEV,2019,880
Audi e-tron,Audi,e-tron,EV,2011,0
Audi e-tron,Audi,e-tron,EV,2012,0
Audi e-tron,Audi,e-tron,EV,2013,0
Audi e-tron,Audi,e-tron,EV,2014,0
Audi e-tron,Audi,e-tron,EV,2015,0
Audi e-tron,Audi,e-tron,EV,2016,0
Audi e-tron,Audi,e-tron,EV,2017,0
Audi e-tron,Audi,e-tron,EV,2018,0
Audi e-tron,Audi,e-tron,EV,2019,5369
